fund,service,scope,access_point,tariff_raw,access_rules
PRIMARY HEALTH CARE FUND,OUT PATIENT CARE SERVICES,"Health education and wellness, counselling, and ongoing sup portas needed. ➢ Consultation, diagnosis, and treatment ➢ Pre scri bed laboratory investigations ➢ Basic radiological examinations including X-rays, ultrasounds. ➢ Prescription, drug administration and dispensing ➢ Management of acute and chronic conditions for endemic / local cases ➢ Man age men tofNCDs, enteric infections; neglectedtropical","LEVEL 2, 3 and level 4 primary health care referral facility designated by the Authority","➢ KES 900 per person per annum ➢ PPM: Global Budget ➢ ARVs, HIV testing and follow up tests, family plan ning commodities, anti- malarial medication and testing, anti TBs and testing, KEPI vaccines, as provided in the guide lines, will be offered at no cost to the patient.","➢ Each facility will bemappedtoa Primary Care Network. ➢ All registered household swillbe mapped to PCN. ➢ The Global budget shall be all ocated based on the population in the PCN. ➢ The Global Budget all ocat ion to the PCN shall be made quarterly. ➢ Distributionof the Fund sshallbe done at the end of the quarter based on patient visits, weighted by disease treated. ➢ ARVs, anti mal ari als, antiTBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith"
PRIMARY HEALTH CARE FUND,OUT PATIENT CARE SERVICES,"diseases ( NTDs ), STI ’ sand HIV / AIDS ➢ Screening for common health conditions ➢ Minor surgical procedures and medical procedures including male circumcision. ➢ Immunizationas per the KEPI schedule and recomm ended special vaccines. ➢ Reproductive, Maternal and Child Health Services as defined by the MOH guide lines",,,based & private facilities that report to the health information system.
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","➢ Ante-natal care, delivery by ways of normal delivery, assisted delivery and caes are ansectionas necessitated. ➢ After care for the mother together with the newborn ➢ Midwifery, including episio tomy care and nursing care. ➢ Operating, recovery, maternity ward and other treatmentroom charges including meals and special diets. ➢ Immunisation for the newborn. ➢ Vitam inK for newborn, chlorhexidine administration. ➢ Provision of warmth and newborn resuscitation",Level 2 - 3,"➢ Normal Delivery – KES. 11, 200 ➢ Caesarean Section – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section - maximum stay of 72 hours ➢ Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included. ➢ PHC maternity benefits willbe access edbyany Kenya nresident woman or child who is pregnant. ➢ Anti-D will only beprovidedto Rhesus-negative mothers through pre author izat ion. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes"
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","➢ Intra- admission and post- discharge medication. ➢ Diagnostic laboratory tests ➢ Administration of blood and blood products; derivatives and components, artificial blood products, and biological serum ➢ Medical supplies and equipment, including oxygen. ➢ Post natal family plan ning. ➢ Man agementof post partum infections and haemorrhage, birth traumas and conditions related to child birth. ➢ Man age mentof neonatal conditions. ➢ Obste tric and neonatal complications including int ra- admission post par tum / post natal infections and haemorrhage, birth traumas and conditions related to child birth. ➢ Anti-D Serum for Rhes us- negative mothers. SCREENING & MANAGEMENT OF PRE- CAN CEROUS LESIONS",,,"effect. All claims in this category will have to undergo surveillance. ➢ ANC and PNCserviceswi llbe covered under the out patient at the PHC level. ➢ Management of complications for the newborn will be charged separately from the mother including but not limit edto sep sis, jaundice, prematurity, necrotising enterocolitis, atdailyrebate rates for inpatient services."
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","Screening for common cancers ( breast, cervix, pro state, and colon )",Level 2 - 6 with capacity,"➢ HPV – KES. 3, 600 ➢ PSA – KES. 1, 500 ➢ Stool for occult blood – KES. 400 ➢ Cryo the rapy – KES. 3, 000",➢ Pro state cancer screening will only be covered in males over 55 years. ➢ Colon cancer screening will only be covered in males over 40 years.
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",,,"➢ Thermal Ablation – KES. 3, 000 ➢ LEEP – KES. 2, 800",➢ Screening for cervical cancer will only be covered in women between 30 - 50 years ➢ HPV screening for females aged 35 and 45 years.
PRIMARY HEALTH CARE FUND,OPTICAL HEALTH SERVICES,"Services covered include consultation and diagnosis, preventive, restorative, and treatment services as necessary: ➢ Eye health education and counselling. ➢ Eye tests including fund oscopy, visual acuity testing, visual field analysis. ➢ Treatment of refractive errors through eye glasses.",Level 2 - 3,KES. 935 for Consultation and dispensing of eye glasses.,"➢ Limit: KES. 1, 000 per Household ➢ Pre- authorized service. ➢ Limited to beneficiaries below 18 years. ➢ Replacement of eye glasses only after every two years if indicated."
PRIMARY HEALTH CARE FUND,END OF LIFE SERVICES,➢ Preparation and storage of the body in mortuary ➢ Preservation and storage of the body in mortuary.,Where avail able,➢ KES 500 per day ➢ PPM: Per Diem,➢ Limit up to 5 days
PRIMARY HEALTH CARE FUND,MEDICAL INPATIENT SERVICES,"Inpatient services shall include management of disease / condition while admitted. ➢ Pre- admission evaluation. ➢ Hospital accommodation charges, meals and nursing care in general ward bed. ➢ Intra- admission consultation and review sbyboth general and special ist consultants, Laboratory investigations, medical imaging, procedures, and medication. ➢ Bed side services including physio the rapy, occupational therapy, oxygen supply, medical consumables, and the rape utic nutritional support. ➢ Cross- match ing and administration of blood and blood products; derivatives and components, artificial blood products, and biological serum. ➢ Post -dis charge medicationor follow-up within the treatment plan.",Level 3,"PPM: Per- Diem Level 3 - KES. 2, 400",➢ Admission up to 50 days
SOCIAL HEALTH INSURANCE FUND,OUT PATIENT CARE SERVICES,"Health education and wellness, counselling, and ongoing support as needed ➢ Consultation, diagnosis, and treatment. ➢ Pre scri bed laboratory investigations. ➢ Basic radiological examinations including X-rays, ultrasounds. ➢ Prescription, drug administration and dispensing",Level 4 - 6,"➢ KES 2, 000 ➢ PPM: Fee for Service – Fixed Fee ➢ ARVs, HIV testing and follow up tests, family plan ning commodities, anti- malarial medication and testing, anti TBs and testing, KEPI vaccines, as provided in the guide lines,","➢ Limit: 4 Visits per year per person ➢ ARVs, anti mal ari als, anti TBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith based & private facilities that report to the health information system."
SOCIAL HEALTH INSURANCE FUND,OUT PATIENT CARE SERVICES,"➢ Management of acute and chronic conditions for end emic / local cases ➢ Man age men tofNCDs, enteric infections; neglectedtropical diseases ( NTDs ), STI ’ sand HIV / AIDS ➢ Screening for common health conditions ➢ Minor surgical procedures and medical procedures ➢ Immunizationas per the KEPI schedule and recomm ended special vaccines ➢ Reproductive, Maternal and Child Health Services as defined by the MOH guide lines",,will be offered at no cost to the patient.,
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,"Inpatient services shall include management of disease / condition while admitted. ➢ Pre- admission evaluation ➢ Hospital accommodation charges, meals and nursing care in general ward bed ➢ Int ra- admission consultation and review sbyboth general and special ist consultants, Laboratory investigations, medical imaging, procedures, and medication ➢ Bed side services including physio the rapy, occupational therapy, oxygen supply, medical consumables, and the rape utic nutritional support. ➢ Cross- match ing and administration of blood and blood products; derivatives and components, artificial blood products, and biological serum. ➢ Post -dis charge medicationor follow-up within the treatment plan.",Level 4 - 6,"➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem",➢ Limit: Up to 50 days per Household ➢ Days above that charged to ECCIF
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES","Delivery by ways of normal delivery, assisted delivery and caesarean section as necessitated. ➢ After care for the mother together with the newborn. ➢ Midwifery, including episio tomy care and nursing care. ➢ Operating, recovery, maternity ward and other treatment room charges including meals and special diets. ➢ Immunization for the newborn. ➢ Intra- admission and post- discharge medication. ➢ Diagnostic laboratory tests. ➢ Admin istrationof blood and blood products; derivatives and components, artificial blood products, and biological serum. ➢ Medical supplies and equipment, including oxygen. ➢ Post natal family plan ning. ➢ Man agementof post partum infections and haemorrhage, birth traumas and conditions related to child birth. ➢ Man age mentof neonatal conditions. ➢ Obste tric and neonatal complications including int ra- admission post par tum / post natal infections and haemorrhage, birth traumas and conditions related to child birth.",Level 4 - 6,"➢ Normal Delivery and essential newborn care – KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ) ➢ SHIF maternity service swillbe accessedby members and their dependants with up-to- date member ship. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,"The management of kidney failure due tochronic disease ora cute injuries / diseases through dialysis including: ➢ Consultation and special ist's review. ➢ Cost ofthetemporaryca the ter and insertion / removal. ➢ Nursing care and dialysis services. ➢ Routine laboratory investigations. ➢ Dis pensationof medication and main ten ance drug, counselling and follow -up. ➢ Continuous inter mittent dialysis and other dialysis protocols.",Level 4 - 6,"➢ Hemo dialysis & Hemodiafiltration KES. 10, 650 per session ➢ Per ito neal dialysis – KES. 180, 000 per month ➢ PPM: Case Based",➢ Maximum of 3 sessions per week for haemo dialysis. ➢ Maximum of 2 sessions per week for hemodiafiltration. ➢ Maximum of 12 sessions annually for per ito neal dialysis. ➢ Payments will be made from the SHIF and ECCIF Funds. ➢ Accessiblein Level IV-VI facilities with dialysis centres and access to an ambulance and ICU services within 10 km radius.
SOCIAL HEALTH INSURANCE FUND,MENTAL WELLLNESS BENEFIT PACKAGE,"The mental health services cover caters for; ➢ Mental Health education and counselling. ➢ Screening, management and referral for behavioral disorders, neuro- develop mental disorders, affective and psycho act ive disorders. ➢ Rehabilitation for substance related addictive disorders.",Level 3 - 6,"Out patient Services ➢ KES. 1, 200 per visit ➢ PPM: Fee for service – Fixed rate Inpatient Services ➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem Rehabilitation for DSA ➢ Detoxification – KES. 14, 000 ➢ Rehabilitation – KES. 125, 000 ➢ PPM: Case based","➢ Max. 7 out patient visits ➢ Toac cess the benefits, individuals must be paid-up SHA members ➢ Mental illness services will be assessed through the SHIF and ECCI funds. ➢ Diagnosis and man agementof behavioral disorders ( inpatient ) shall have limit of up to 35 days. ➢ Admissions for rehabilitation for drugs and substance abuse shall be pre- authorized. ➢ For beneficiaries whodo not complete the three -st age program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to maximum of 10 days."
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,"The Surgical Package covers the below list of surgical and non- surgical procedures: ➢ Pre- operative admission and care. ➢ Minor, major and special ized surgical procedures including organ transplants and implants. ➢ Administration of blood and blood products; derivatives and","➢ Level 3 - 6 ➢ Select ive procurement for Cardiology, Cardiothoracic and vascular, Urology, and Transplant surgeries",PPM: Fee for Service – Fixed rate Schedule of tariffs annexed.,"➢ Minor surgical procedures per for med at Level 2 & 3 facilities will be funded from the PHC fund. ➢ Emergency surgical pro ceduresto stabilizetrauma and poly trauma patients with head, cardiac, pulmonary, and critical limb injuries within 24 hours will be covered under"
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,"components, artificial blood products, and biological serum. ➢ Management of int rao per ative complications and complications follow ing the surgical procedure. ➢ All additional medical or surgical service required during the post operative period because of complications that do not require additional trips to the operating room. ➢ Post operative visits - follow -up visits during the post operative period that are related to recovery. ➢ Post -pro cedure pain management. ➢ Post -op era tive ward physio the rapy. ➢ Supplies - except for those identified as exclusions. ➢ Mis cell aneous services - items such as dressing changes; local incisional care; removal of the operative pack; removal of cutaneous sutures and staples, lines, wires, tubes, drains, casts, and splints; insertion, irrigation and removal of urinary catheters, routine per ipheral intravenous lines, nasogastric and rectal tubes; and changes and removal of tracheostomy tubes. ➢ Critical care services related to the surgical procedure but within the same case definition. ➢ Diagnostic tests and procedure, including diagnostic radiological procedures related to the surgery. ➢ Immunosuppressive therapy for organ transplants.","the Accident and Emergency Package in the ECCIF fund. ➢ Palliative surgery shall be paid under ECCIF. ➢ Major and specialized surgical procedures will be provided at Level 4 - 6 facilities with at least 2 operating the atres. ➢ Procurement of eligible minor, major and special ized procedures from single specialty providers. ➢ Access to specific major and special ized procedures will be limited to facilities with appropriate installed equipment, affiliated surgical and anes the sia per son nel. ➢ Co-payment allowed for laser and laparoscopic surgeries.",,
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,"Oncology services shall entail screening and treatment ofcancers including breast, pro state, colo rectal, cervical cancer, and child hood cancers. ➢ Administration of Chemo the rapy, Radio the rapy, Brachy the rapy and Radio surgery ➢ Consumables, stoma appliances, premeds, and post meds ➢ Chemo the rapy pump ➢ Routine and special ized laboratory investigations ➢ Screening, cross- match ing and administration of blood and blood products; derivatives and components, artificial blood products, and biological serum ➢ Treatment plan ning ➢ Radioiodine therapy ➢ Radiological services where necessary as part of oncological treatment plan ning ➢ Management through surgical interventions ➢ Management of pre- cancer conditions",Level 4 - 6,"➢ Chemo administration – KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachy the rapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radio the rapy – up to KES. 3, 600 per session","➢ Diagnosis & staging - Limit of KES. 100, 000 ➢ 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢ 2 nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,Covers Pre scri bed special ized imaging services including. ➢ MRI ➢ CT scans ➢ CT Angio ➢ Fluoroscopy ➢ Mammography ➢ Special ized ultrasounds ( Dopplers ) ➢ Echo car diog rams ( ECHO ) ➢ Electroencephalograms ( EEGs ) and ➢ Review ing and interpreting radiological images giving the diagnostic opinion and providing the refer ring physicianwitha detail edreportof the imaging findings for treatment plan ning.,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.","➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography – KES 3, 000 ➢ Special ized ultrasounds ( Dopplers ) – KES 5, 000 ➢ Echo car diog rams ( ECHO ) – KES 3, 500 ➢ Electroencephalograms ( EEGs ) – KES 5, 000 for child and KES 8, 000 for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CTscans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and interventional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ). ➢ Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening -de tec ted abnormalities. ➢ Special izedultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,,,,"(.. cysticorsolid ), detectionof for eign bodies, / S-guidedbiopsy and injections, Bone / joint evaluation pre- ossifi cat ion (.. DDHinearly months ), doppler for venous and art erial diseases, scro tal masses, priapism, and testicular torsion. ➢ ECHO at 2 per household per year: Car otids ten osis, Pulmonary embolism, Kawa saki disease, Hypertension in child ren, Congestive heart failure, Congenital heart disease, Spina bifida, Acute Ischemic stroke, Infective end ocardi tis, Hodgkin ’ lymphoma, Sickle cell disease, Acute per icardi tis, Valvular heart disease. ➢ Radiology benefits are tobe purchased where the serviceis avail able and on need basis. ➢ All radiology services are to be pre- authorized."
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,"➢ Medicines for select chronic conditions: - • Diabetes type 1 & 2, • Hypertension, • Asthma, • Chronic renal dis easeon dialysis • Post transplant immunosuppressants • Chronic obst ruct ive pulmonary disease, • Sickle cell • Oncology medicines • Anti-D • Anti Snake Venom • Anti Rabies • Mental Health long- acting medicines • Epilepsy SPECIAL IZED LABORATORY SERVICE",➢ All public facility pharmacies ➢ All faith- based facility pharmacies ➢ Comm unit ypharma cies ind ividu all yorthrougha pharmacy benefits manager,➢ PPM- Fee for service,"➢ Quarterly limit of 5, 000 per person as capturedin the chronic disease registry"
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,"➢ Special ized testing as captured in the essential laboratorylists and WHO lists for the chronic conditions: • Diabetes type 1 & 2, • Hypertension, • Asthma • Chronic renal dis easeon dialysis • Post transplant immuno sup press ion • Chronic obst ruct ive pulmonary disease • Sickle cell • Oncology medicines • Anti-D • Anti Snake Venom • Anti Rabies • Mental Health long- acting medicines • Epilepsy","➢ ClassC, DandE public facility, faith based, and contracted indep end ent Class, and laboratories",➢ PPM- Fee for service,"➢ Quarterly limit of 5, 000 per person as capturedin the chronic disease registry"
SOCIAL HEALTH INSURANCE FUND,END OF LIFE SERVICES,➢ Preparation and storage of the body in mortuary,Level 4 - 6,➢ KES 500 per day ➢ PPM: Per Diem,➢ Limit up to 5 days
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",AMBULANCE EVACUATION SERVICES,Evacuation from thepointof the incident to the nearest facility with an & center and the transfer of patients requiring emergency and further clinical care from the facility.,Man age mentof all transfers / evacuation sthro ugha National Ambulance Call Centre,"➢ PPM: Fee -for- service- fixed rate- 25 kmradius-upto KES 4, 500 ( Intra-metro ). ➢ Acost per kmtariff for services beyond 25 km, KES 75 per km ( Extra-metro )","➢ Access ible by all Kenyans ➢ Pro curementof the ground evacuation services, as an outsourced service to provider / consortium of providers able to meet the criteria set for at least one region."
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,"This cover includes resuscitation and stabilization due to: ➢ Cardiac and pulmonary arrest ➢ Major trauma ( severe burns, head injuries, severe wounds, multiple fractures ) ➢ Shock states ( Haemorrhagic, septic, dehydration ) ➢ Alteredlevelof consciousness ( unconsciousness, confusion ) Severe respiratory distress ➢ Seizures",Level 2 - 6,"➢ PPM: Fee for service up to indicated limits. ➢ Cardiac and pulmonary arrest – KES 5015 for investigations and KES 97, 900 for management. ➢ Major trauma ( severe burns, head injuries, severe wounds, multiple fractures )– KES 13, 614 for investigations and KES 79, 549 for management.",➢ Resuscitation and stabilization to be accessed from level 2 - 6 byall residents in Kenya. ➢ Care for upto amaximumof 24 hours after which theSHIFis activated for paid up members. ➢ The amountsprovided are the maximum reimburs able tariffs. The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,➢ Chest pain ( Acute Coronary Syndrome / Pulmonary embolism ) Acute Cerebrovascular Accidents ( Strokes ) ➢ Anti Snake Venom & Anti Rabies,"➢ Shock states ( Haemorrhagic, septic, dehydration ) - KES 7, 637 for investigations and KES 67, 272 for management. ➢ Alteredlevelof consciousness ( unconsciousness, confusion )- KES 12, 656 for investigations and KES 8, 000 for management. ➢ Severe respiratory distress - KES 6, 315 for investigations and KES 8, 000 for management. ➢ Seizures - KES 12, 156 for investigations and KES 8, 950 for management. ➢ Chest pain ( Acute Coronary Syndrome / Pulmonary embolism )- KES 11, 233 for investigations and KES 41, 400 for management. ➢ Acute Cerebrovascular Accidents ( Strokes ) - KES 11, 033 for investigations andKES 95, 200 for management. ➢ Anti Snake Venom – Up to KES 6, 600 for first dose",,
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,,,"➢ Anti Rabies – Up to KES 3, 800 for the first dose",
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",CRITICAL ILLNESS PACKAGE,"This will caterforCriticalc are admission sinIntensiveC are Unit ( ICU ), High Dependency Unit ( HDU ), - include NICU, PICU, Burns Unit",Level 4 - 6,"ICU – KES 35, 000 HDU – KES 10, 000 PPM: Per diem rate",➢ ICU up to 14 days ➢ HDU up to 10 days ➢ Co-payment for amounts above daily per diem rate
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",PALLIATIVE CARE SERVICES,"This benefit aims at enhancing the quality of life for patients with serious chronic or life -threa ten ing illnesses which includes symptom management, psycho social support, care giver support and end -of- life care. CHRONIC ILLNESSES",Level 4 - 6,"KES. 5, 000 PPM: Per diem rate",➢ Up to 60 days ➢ Co-payment for amounts above daily per diem rate
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",PALLIATIVE CARE SERVICES,"➢ Long itudinal man agementof chronic conditions and diseases beyond the SHIF limit for diabetes mellitus and its complications, hypertension, cardiovascular conditions, asthma, COPD, sickle cell disease, dialysis, pre- transplant evaluation, immunosuppressive therapy post renal transplant, ➢ Management of cancers beyond the SHIF limit ➢ Man age mentof mental, neuro develop mental, affective, psychoactive disorders and substance addictive disorders and other mental health conditions ➢ Selected special ized surgeries ASSISTIVE DEVICES",Level 4 - 6,Same tariff and PPMsapplied under SHIF,➢ Must be paid up SHIF member.
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",PALLIATIVE CARE SERVICES,Provision of assistive devices to support patients with per man ent physical and / or sensory disabilities and progressive chronic conditions such as Parkinson ’ Disease and multiple sclerosis.,Level 4 - 6,"➢ Hearing aids – KES. 55, 000 ➢ Crutches – KES. 900 ➢ Club foot brace – KES. 1, 000 ➢ Walking frames – KES. 500 ➢ The rape utic footwear – KES. 1, 000","➢ Medical devices will only be issued to persons with per man ent disability recognized by the National Council for Persons with Disability ➢ One device per household per year, except for the rape utic footwear, which has limit of two per household per year. ➢ Hearing Aids are limited to individuals aged 18 years and below and will only be issued once per life time. ➢ Devices required due to temporary inability or immobility will be factored in the surgical package."
