service_name,service_id,specialty,tariff_kes,page_reference,evidence_snippet,extraction_method,extraction_confidence,source_type,in_tariff_section
Anterior exenteration and ileal conduit,585,Urological,550000,47,"585: Anterior exenteration and ileal conduit - 550,000",annex_table_extraction,0.95,annex_table,
Ascending urethrography,586,Urological,6000,47,"586: Ascending urethrography - 6,000",annex_table_extraction,0.95,annex_table,
Aspiration of hydrocele,587,Urological,10000,47,"587: Aspiration of hydrocele - 10,000",annex_table_extraction,0.95,annex_table,
Bilateral modified inguinal node dissection,588,Urological,450000,47,"588: Bilateral modified inguinal node dissection - 450,000",annex_table_extraction,0.95,annex_table,
Bilateral ochidectomy,589,Urological,44800,47,"589: Bilateral ochidectomy - 44,800",annex_table_extraction,0.95,annex_table,
Bilateral radical inguinal node dissection,590,Urological,385000,47,"590: Bilateral radical inguinal node dissection - 385,000",annex_table_extraction,0.95,annex_table,
Bipolar fulgration of genital and perineal warts,591,Urological,170000,47,"591: Bipolar fulgration of genital and perineal warts - 170,000",annex_table_extraction,0.95,annex_table,
Bipolar fulgration of urethral warts,592,Urological,97000,47,"592: Bipolar fulgration of urethral warts - 97,000",annex_table_extraction,0.95,annex_table,
Bladder augmentation surgery,593,Urological,325000,47,"593: Bladder augmentation surgery - 325,000",annex_table_extraction,0.95,annex_table,
Bladder biopsy,594,Urological,16800,47,"594: Bladder biopsy - 16,800",annex_table_extraction,0.95,annex_table,
Bladder diverticulectomy,595,Urological,295000,47,"595: Bladder diverticulectomy - 295,000",annex_table_extraction,0.95,annex_table,
Bladder injury repair,596,Urological,89600,47,"596: Bladder injury repair - 89,600",annex_table_extraction,0.95,annex_table,
Bricker's ileal conduit,598,Urological,268800,48,"598: Bricker's ileal conduit - 268,800",annex_table_extraction,0.95,annex_table,
Combined ascending and descending urethrography,599,Urological,7000,48,"599: Combined ascending and descending urethrography - 7,000",annex_table_extraction,0.95,annex_table,
Creation of instestinal continent catherizable pouch,600,Urological,424000,48,"600: Creation of instestinal continent catherizable pouch - 424,000",annex_table_extraction,0.95,annex_table,
Cutaneous ureterostomy,601,Urological,270000,48,"601: Cutaneous ureterostomy - 270,000",annex_table_extraction,0.95,annex_table,
Direct visual urethrotomy,602,Urological,56000,48,"602: Direct visual urethrotomy - 56,000",annex_table_extraction,0.95,annex_table,
Epispadia urethroplasty,603,Urological,420000,48,"603: Epispadia urethroplasty - 420,000",annex_table_extraction,0.95,annex_table,
Excision and graft peyronies repair,604,Urological,396000,48,"604: Excision and graft peyronies repair - 396,000",annex_table_extraction,0.95,annex_table,
Excision of epididymal cyst,605,Urological,195000,48,"605: Excision of epididymal cyst - 195,000",annex_table_extraction,0.95,annex_table,
Excision of patent urachus,606,Urological,250000,48,"606: Excision of patent urachus - 250,000",annex_table_extraction,0.95,annex_table,
Female urethral diverticulectomy,607,Urological,320000,48,"607: Female urethral diverticulectomy - 320,000",annex_table_extraction,0.95,annex_table,
Femoral hernia repair,608,Urological,180000,48,"608: Femoral hernia repair - 180,000",annex_table_extraction,0.95,annex_table,
Flexible cystoscopy and removal of JJ stent,609,Urological,35000,48,"609: Flexible cystoscopy and removal of JJ stent - 35,000",annex_table_extraction,0.95,annex_table,
Flexible cystoscopy and surveillance for bladder cancer,610,Urological,33600,48,"610: Flexible cystoscopy and surveillance for bladder cancer - 33,600",annex_table_extraction,0.95,annex_table,
Flexible ureterorenoscopy and laser ablation of ureteric or renal neoplasm,611,Urological,201600,48,"611: Flexible ureterorenoscopy and laser ablation of ureteric or renal neoplasm - 201,600",annex_table_extraction,0.95,annex_table,
Flexible ureterorenoscopy and laser lithotripsy,612,Urological,201600,48,"612: Flexible ureterorenoscopy and laser lithotripsy - 201,600",annex_table_extraction,0.95,annex_table,
Flexible ureteroscopy,613,Urological,120000,48,"613: Flexible ureteroscopy - 120,000",annex_table_extraction,0.95,annex_table,
Flexible urethrocystoscopy,614,Urological,70000,48,"614: Flexible urethrocystoscopy - 70,000",annex_table_extraction,0.95,annex_table,
Fournier's gangrene necrosectomy,615,Urological,180000,48,"615: Fournier's gangrene necrosectomy - 180,000",annex_table_extraction,0.95,annex_table,
Graft urethroplasty,616,Urological,280000,48,"616: Graft urethroplasty - 280,000",annex_table_extraction,0.95,annex_table,
Hydrocelectomy,617,Urological,75000,48,"617: Hydrocelectomy - 75,000",annex_table_extraction,0.95,annex_table,
Ileal replacement of ureter,619,Urological,280000,49,"619: Ileal replacement of ureter - 280,000",annex_table_extraction,0.95,annex_table,
Inguinal hernia repair,620,Urological,56000,49,"620: Inguinal hernia repair - 56,000",annex_table_extraction,0.95,annex_table,
Inguinal ochidopexy,621,Urological,44800,49,"621: Inguinal ochidopexy - 44,800",annex_table_extraction,0.95,annex_table,
Insertion of artificial urethral sphincter,622,Urological,1200000,49,"622: Insertion of artificial urethral sphincter - 1,200,000",annex_table_extraction,0.95,annex_table,
Insertion of female urethral sling,623,Urological,300000,49,"623: Insertion of female urethral sling - 300,000",annex_table_extraction,0.95,annex_table,
Intravesical instillation of chemotherapy for bladder cancer,624,Urological,45000,49,"624: Intravesical instillation of chemotherapy for bladder cancer - 45,000",annex_table_extraction,0.95,annex_table,
JJ stent placement,625,Urological,56000,49,"625: JJ stent placement - 56,000",annex_table_extraction,0.95,annex_table,
Laparoscopic ablation of renal cyst,626,Urological,250000,49,"626: Laparoscopic ablation of renal cyst - 250,000",annex_table_extraction,0.95,annex_table,
Laparoscopic adrenalectomy,627,Urological,168000,49,"627: Laparoscopic adrenalectomy - 168,000",annex_table_extraction,0.95,annex_table,
Laparoscopic donor nephrectomy,628,Urological,200000,49,"628: Laparoscopic donor nephrectomy - 200,000",annex_table_extraction,0.95,annex_table,
Laparoscopic ochidopexy,629,Urological,56000,49,"629: Laparoscopic ochidopexy - 56,000",annex_table_extraction,0.95,annex_table,
Laparoscopic partial nephrectomy,630,Urological,325000,49,"630: Laparoscopic partial nephrectomy - 325,000",annex_table_extraction,0.95,annex_table,
Laparoscopic pyelolithotomy,631,Urological,168000,49,"631: Laparoscopic pyelolithotomy - 168,000",annex_table_extraction,0.95,annex_table,
Laparoscopic pyeloplasty,632,Urological,145600,49,"632: Laparoscopic pyeloplasty - 145,600",annex_table_extraction,0.95,annex_table,
Laparoscopic radical nephrectomy,633,Urological,280000,49,"633: Laparoscopic radical nephrectomy - 280,000",annex_table_extraction,0.95,annex_table,
Laparoscopic radical nephroureterectomy,634,Urological,145600,49,"634: Laparoscopic radical nephroureterectomy - 145,600",annex_table_extraction,0.95,annex_table,
Laparoscopic radical ochidectomy,635,Urological,134400,49,"635: Laparoscopic radical ochidectomy - 134,400",annex_table_extraction,0.95,annex_table,
Laparoscopic radical prostatectomy,636,Urological,250000,49,"636: Laparoscopic radical prostatectomy - 250,000",annex_table_extraction,0.95,annex_table,
Laparoscopic simple nephrectomy,637,Urological,145600,49,"637: Laparoscopic simple nephrectomy - 145,600",annex_table_extraction,0.95,annex_table,
Laparoscopic ureterolithotomy,638,Urological,275000,49,"638: Laparoscopic ureterolithotomy - 275,000",annex_table_extraction,0.95,annex_table,
Laser cystolithotripsy,640,Urological,234000,50,"640: Laser cystolithotripsy - 234,000",annex_table_extraction,0.95,annex_table,
Laser urethrolithotripsy,641,Urological,168000,50,"641: Laser urethrolithotripsy - 168,000",annex_table_extraction,0.95,annex_table,
Laser urethrotomy,642,Urological,56000,50,"642: Laser urethrotomy - 56,000",annex_table_extraction,0.95,annex_table,
Mainz II urinary diversion,643,Urological,224000,50,"643: Mainz II urinary diversion - 224,000",annex_table_extraction,0.95,annex_table,
Meatoplasty,644,Urological,44800,50,"644: Meatoplasty - 44,800",annex_table_extraction,0.95,annex_table,
Micturating cystourethrography,645,Urological,6000,50,"645: Micturating cystourethrography - 6,000",annex_table_extraction,0.95,annex_table,
Mitrofanoff's appendicovesicostomy,646,Urological,295000,50,"646: Mitrofanoff's appendicovesicostomy - 295,000",annex_table_extraction,0.95,annex_table,
Open adrenalectomy,647,Urological,168000,50,"647: Open adrenalectomy - 168,000",annex_table_extraction,0.95,annex_table,
Open cystolithotomy,648,Urological,234000,50,"648: Open cystolithotomy - 234,000",annex_table_extraction,0.95,annex_table,
Open decortication of renal cyst,649,Urological,250000,50,"649: Open decortication of renal cyst - 250,000",annex_table_extraction,0.95,annex_table,
Open donor nephrectomy,650,Urological,200000,50,"650: Open donor nephrectomy - 200,000",annex_table_extraction,0.95,annex_table,
Open drainage of renal abscess,651,Urological,89600,50,"651: Open drainage of renal abscess - 89,600",annex_table_extraction,0.95,annex_table,
Open nephrolithotomy,652,Urological,280000,50,"652: Open nephrolithotomy - 280,000",annex_table_extraction,0.95,annex_table,
Open partial nephrectomy,653,Urological,325000,50,"653: Open partial nephrectomy - 325,000",annex_table_extraction,0.95,annex_table,
Open pyelolithotomy,654,Urological,168000,50,"654: Open pyelolithotomy - 168,000",annex_table_extraction,0.95,annex_table,
Open pyeloplasty,655,Urological,145600,50,"655: Open pyeloplasty - 145,600",annex_table_extraction,0.95,annex_table,
Open radical nephrectomy,656,Urological,280000,50,"656: Open radical nephrectomy - 280,000",annex_table_extraction,0.95,annex_table,
Open radical nephrectomy with IVC thrombectomy,657,Urological,850000,50,"657: Open radical nephrectomy with IVC thrombectomy - 850,000",annex_table_extraction,0.95,annex_table,
Open radical nephroureterectomy with bladder cuff,658,Urological,325000,50,"658: Open radical nephroureterectomy with bladder cuff - 325,000",annex_table_extraction,0.95,annex_table,
Open radical prostatectomy,659,Urological,250000,50,"659: Open radical prostatectomy - 250,000",annex_table_extraction,0.95,annex_table,
Open simple nephroureterectomy,661,Urological,145600,51,"661: Open simple nephroureterectomy - 145,600",annex_table_extraction,0.95,annex_table,
Open simple prostatectomy,662,Urological,280000,51,"662: Open simple prostatectomy - 280,000",annex_table_extraction,0.95,annex_table,
Open suprapubic catheterization,663,Urological,8960,51,"663: Open suprapubic catheterization - 8,960",annex_table_extraction,0.95,annex_table,
Open ureterolithotomy,664,Urological,275000,51,"664: Open ureterolithotomy - 275,000",annex_table_extraction,0.95,annex_table,
Open varicocelectomy,665,Urological,56000,51,"665: Open varicocelectomy - 56,000",annex_table_extraction,0.95,annex_table,
Orthotopic neobladder reconstruction,666,Urological,424000,51,"666: Orthotopic neobladder reconstruction - 424,000",annex_table_extraction,0.95,annex_table,
Partial cystectomy,667,Urological,223000,51,"667: Partial cystectomy - 223,000",annex_table_extraction,0.95,annex_table,
Partial glansectomy,668,Urological,120000,51,"668: Partial glansectomy - 120,000",annex_table_extraction,0.95,annex_table,
Partial penectomy,669,Urological,168000,51,"669: Partial penectomy - 168,000",annex_table_extraction,0.95,annex_table,
Pelvic fracture urethral defect (PFUD) urethroplasty,670,Urological,398000,51,"670: Pelvic fracture urethral defect (PFUD) urethroplasty - 398,000",annex_table_extraction,0.95,annex_table,
Percutaneous ablation of renal cyst,671,Urological,280000,51,"671: Percutaneous ablation of renal cyst - 280,000",annex_table_extraction,0.95,annex_table,
Percutaneous cystolithotripsy,672,Urological,280000,51,"672: Percutaneous cystolithotripsy - 280,000",annex_table_extraction,0.95,annex_table,
Percutaneous drainage of renal abscess,673,Urological,89600,51,"673: Percutaneous drainage of renal abscess - 89,600",annex_table_extraction,0.95,annex_table,
Percutaneous nephrolithotomy (PCNL),674,Urological,336000,51,"674: Percutaneous nephrolithotomy (PCNL) - 336,000",annex_table_extraction,0.95,annex_table,
Percutaneous nephrostomy,675,Urological,143360,51,"675: Percutaneous nephrostomy - 143,360",annex_table_extraction,0.95,annex_table,
Percutaneous prograde JJ stenting,676,Urological,295000,51,"676: Percutaneous prograde JJ stenting - 295,000",annex_table_extraction,0.95,annex_table,
Percutaneous prograde nephrostogram,677,Urological,295000,51,"677: Percutaneous prograde nephrostogram - 295,000",annex_table_extraction,0.95,annex_table,
Percutaneous removal of retained JJ stent,678,Urological,295000,51,"678: Percutaneous removal of retained JJ stent - 295,000",annex_table_extraction,0.95,annex_table,
Percutaneous resection and ablation of urothelial tumors,679,Urological,295000,51,"679: Percutaneous resection and ablation of urothelial tumors - 295,000",annex_table_extraction,0.95,annex_table,
Percutaneous suprapubic catheterization,680,Urological,8960,51,"680: Percutaneous suprapubic catheterization - 8,960",annex_table_extraction,0.95,annex_table,
Perineal urethrostomy,682,Urological,280000,52,"682: Perineal urethrostomy - 280,000",annex_table_extraction,0.95,annex_table,
Plication Peyronie's repair,683,Urological,245000,52,"683: Plication Peyronie's repair - 245,000",annex_table_extraction,0.95,annex_table,
Post circumcision repair,684,Urological,80000,52,"684: Post circumcision repair - 80,000",annex_table_extraction,0.95,annex_table,
Posterior urethral valve ablation,685,Urological,295000,52,"685: Posterior urethral valve ablation - 295,000",annex_table_extraction,0.95,annex_table,
Prostate biopsy,686,Urological,16800,52,"686: Prostate biopsy - 16,800",annex_table_extraction,0.95,annex_table,
Proximal shunt of priapism,687,Urological,250000,52,"687: Proximal shunt of priapism - 250,000",annex_table_extraction,0.95,annex_table,
Radical cystoprostatectomy and ileal conduit INC ICU stay,688,Urological,850000,52,"688: Radical cystoprostatectomy and ileal conduit INC ICU stay - 850,000",annex_table_extraction,0.95,annex_table,
Radical inguinal ochidectomy,689,Urological,134400,52,"689: Radical inguinal ochidectomy - 134,400",annex_table_extraction,0.95,annex_table,
Radical penectomy with perineal urethrostomy,690,Urological,450000,52,"690: Radical penectomy with perineal urethrostomy - 450,000",annex_table_extraction,0.95,annex_table,
Radical urethrectomy,691,Urological,375000,52,"691: Radical urethrectomy - 375,000",annex_table_extraction,0.95,annex_table,
Recipient kidney transplantation,692,Urological,800000,52,"692: Recipient kidney transplantation - 800,000",annex_table_extraction,0.95,annex_table,
Repair of bladder extrophy,693,Urological,490000,52,"693: Repair of bladder extrophy - 490,000",annex_table_extraction,0.95,annex_table,
Repair of colovesical fistula,694,Urological,112000,52,"694: Repair of colovesical fistula - 112,000",annex_table_extraction,0.95,annex_table,
Repair of cystocele with mesh,695,Urological,280000,52,"695: Repair of cystocele with mesh - 280,000",annex_table_extraction,0.95,annex_table,
Repair of fracture penis,696,Urological,246400,52,"696: Repair of fracture penis - 246,400",annex_table_extraction,0.95,annex_table,
Repair of ligated ureter,697,Urological,295000,52,"697: Repair of ligated ureter - 295,000",annex_table_extraction,0.95,annex_table,
Repair of penile injury,698,Urological,89600,52,"698: Repair of penile injury - 89,600",annex_table_extraction,0.95,annex_table,
Repair of ureter injury,699,Urological,295000,52,"699: Repair of ureter injury - 295,000",annex_table_extraction,0.95,annex_table,
Repair of urethral injury,700,Urological,112000,52,"700: Repair of urethral injury - 112,000",annex_table_extraction,0.95,annex_table,
Retrograde pyelography,701,Urological,7500,52,"701: Retrograde pyelography - 7,500",annex_table_extraction,0.95,annex_table,
Rigid Cystoscopy and Removal of JJ stent,703,Urological,33600,53,"703: Rigid Cystoscopy and Removal of JJ stent - 33,600",annex_table_extraction,0.95,annex_table,
Robotic radical prostatectomy,704,Urological,250000,53,"704: Robotic radical prostatectomy - 250,000",annex_table_extraction,0.95,annex_table,
Scrotal exploration and ochidopexy of testicular torsion,705,Urological,95000,53,"705: Scrotal exploration and ochidopexy of testicular torsion - 95,000",annex_table_extraction,0.95,annex_table,
Semi rigid ureteroscopy and laser ureterolithotripsy,706,Urological,168000,53,"706: Semi rigid ureteroscopy and laser ureterolithotripsy - 168,000",annex_table_extraction,0.95,annex_table,
Semi rigid ureteroscopy and removal of retained JJ stent,707,Urological,290000,53,"707: Semi rigid ureteroscopy and removal of retained JJ stent - 290,000",annex_table_extraction,0.95,annex_table,
Semirigid ureteroscopy,708,Urological,110000,53,"708: Semirigid ureteroscopy - 110,000",annex_table_extraction,0.95,annex_table,
Sentinel inguinal node biopsy,709,Urological,175000,53,"709: Sentinel inguinal node biopsy - 175,000",annex_table_extraction,0.95,annex_table,
Simple cystectomy and ileal conduit,710,Urological,295000,53,"710: Simple cystectomy and ileal conduit - 295,000",annex_table_extraction,0.95,annex_table,
Simple nephrectomy,711,Urological,168000,53,"711: Simple nephrectomy - 168,000",annex_table_extraction,0.95,annex_table,
Simple ochidectomy,712,Urological,44800,53,"712: Simple ochidectomy - 44,800",annex_table_extraction,0.95,annex_table,
Testicular/penile biopsy,713,Urological,16800,53,"713: Testicular/penile biopsy - 16,800",annex_table_extraction,0.95,annex_table,
Total penectomy with perineal urethrostomy,714,Urological,450000,53,"714: Total penectomy with perineal urethrostomy - 450,000",annex_table_extraction,0.95,annex_table,
Trasurethral resection of prostate (TURP),715,Urological,168000,53,"715: Trasurethral resection of prostate (TURP) - 168,000",annex_table_extraction,0.95,annex_table,
Trauma nephrectomy,716,Urological,168000,53,"716: Trauma nephrectomy - 168,000",annex_table_extraction,0.95,annex_table,
Ultrasound guided biopsy of renal masses,717,Urological,22400,53,"717: Ultrasound guided biopsy of renal masses - 22,400",annex_table_extraction,0.95,annex_table,
Unilateral modified inguinal node dissection,718,Urological,270000,53,"718: Unilateral modified inguinal node dissection - 270,000",annex_table_extraction,0.95,annex_table,
Unilateral radical inguinal node dissection,719,Urological,280000,53,"719: Unilateral radical inguinal node dissection - 280,000",annex_table_extraction,0.95,annex_table,
Ureter reimplantation,720,Urological,280000,53,"720: Ureter reimplantation - 280,000",annex_table_extraction,0.95,annex_table,
Ureteral dilation,721,Urological,90000,53,"721: Ureteral dilation - 90,000",annex_table_extraction,0.95,annex_table,
Ureterolysis,722,Urological,345000,53,"722: Ureterolysis - 345,000",annex_table_extraction,0.95,annex_table,
Ureteroscopy and laser incision of ureter stricture,724,Urological,280000,54,"724: Ureteroscopy and laser incision of ureter stricture - 280,000",annex_table_extraction,0.95,annex_table,
Ureteroureterostomy,725,Urological,134400,54,"725: Ureteroureterostomy - 134,400",annex_table_extraction,0.95,annex_table,
Urethral dilation,726,Urological,33600,54,"726: Urethral dilation - 33,600",annex_table_extraction,0.95,annex_table,
Urethroscopy and ablation of bleeding prostatic hemangioma,727,Urological,180000,54,"727: Urethroscopy and ablation of bleeding prostatic hemangioma - 180,000",annex_table_extraction,0.95,annex_table,
Vesicostomy,728,Urological,280000,54,"728: Vesicostomy - 280,000",annex_table_extraction,0.95,annex_table,
designated by the Authority  ➢,,,900,1,designated by the Authority  ➢ KES 900 per person per,text_pattern_tariffs,0.9,,True
body in a mortuary.  Where available  ➢,,,500,4,body in a mortuary.  Where available  ➢ KES 500 per day,text_pattern_tariffs,0.9,,True
and dispensing  Level 4 -6 ➢,,,2000,5,"and dispensing  Level 4 -6 ➢ KES 2,000",text_pattern_tariffs,0.9,,True
"procedures, and medication  Level 4 -6 ➢ Level 4 –",,,3500,6,"procedures, and medication  Level 4 -6 ➢ Level 4 – KES 3,500",text_pattern_tariffs,0.9,,True
shall reimburse,,,1000,9,"shall reimburse KES 1,000 for every",text_pattern_tariffs,0.9,,True
Fluoroscopy –,,,4000,12,"➢ Fluoroscopy – KES 4,000",text_pattern_tariffs,0.9,,True
Dopplers) –,,,5000,12,"(Dopplers) – KES 5,000",text_pattern_tariffs,0.9,,True
body in a mortuary  Level 4 -6 ➢,,,500,15,body in a mortuary  Level 4 -6 ➢ KES 500 per day,text_pattern_tariffs,0.9,,True
fractures) –,,,13614,15,"fractures) – KES 13,614",text_pattern_tariffs,0.9,,True
dehydration),,,7637,16,"dehydration) - KES 7,637",text_pattern_tariffs,0.9,,True
dehydration) -,,,7637,16,"dehydration) - KES 7,637",text_pattern_tariffs,0.9,,True
confusion),,,12656,16,"confusion) - KES 12,656",text_pattern_tariffs,0.9,,True
confusion) -,,,12656,16,"confusion) - KES 12,656",text_pattern_tariffs,0.9,,True
"include NICU, PICU, Burns Unit  Level 4 -6 ICU –",,,35000,17,"-include NICU, PICU, Burns Unit  Level 4 -6 ICU – KES 35,000",text_pattern_tariffs,0.9,,True
